config,threshold,total_return,max_drawdown,sharpe,trades,win_rate,ai_exits
MA only (baseline),-,50.62%,-10.21%,1.474,39,51.28%,0
MA + AI exit,0.2,44.40%,-10.21%,1.535,47,59.57%,10
MA + AI exit,0.25,62.49%,-7.39%,2.020,45,57.78%,15
MA + AI exit,0.3,62.39%,-6.11%,2.040,55,65.45%,24
MA + AI exit,0.35,80.97%,-6.98%,2.503,73,64.38%,42
MA + AI exit,0.4,106.76%,-9.53%,2.486,94,62.77%,59
dyn bull=0.22/bear=0.5 vix<15.0/<25.0,0.22/0.4/0.5,125.24%,-7.74%,2.688,102,65.69%,70
dyn bull=0.2/bear=0.5 vix<15.0/<25.0,0.2/0.35/0.5,138.05%,-7.74%,2.973,86,66.28%,56
dyn bull=0.22/bear=0.5 vix<18.0/<28.0,0.22/0.4/0.5,83.19%,-9.59%,2.067,72,56.94%,37
dyn bull=0.25/bear=0.45 vix<15.0/<25.0,0.25/0.4/0.45,120.64%,-9.14%,2.577,99,63.64%,64
