regime,prob_bin,count,avg_pred,actual_rate
BEAR,"(-0.001, 0.1]",1906,0.05385809993324874,0.4249737670514166
BEAR,"(0.1, 0.2]",1402,0.14783472869708178,0.46790299572039945
BEAR,"(0.2, 0.3]",1089,0.24798786103259118,0.55188246097337
BEAR,"(0.3, 0.4]",1020,0.34896482042228155,0.5441176470588235
BEAR,"(0.4, 0.5]",972,0.44995884848518747,0.5967078189300411
BEAR,"(0.5, 0.6]",991,0.5505145119744672,0.6044399596367306
BEAR,"(0.6, 0.7]",1045,0.6505212840257634,0.6411483253588517
BEAR,"(0.7, 0.8]",1076,0.7489860939353462,0.6514869888475836
BEAR,"(0.8, 0.9]",1171,0.850432507141178,0.5448334756618275
BEAR,"(0.9, 1.0]",1523,0.9532152228844561,0.3217334208798424
BULL,"(-0.001, 0.1]",1693,0.07378262836926487,0.6320141760189013
BULL,"(0.1, 0.2]",4777,0.15119009404506897,0.6453841323006071
BULL,"(0.2, 0.3]",4881,0.25071556581396015,0.6228231919688588
BULL,"(0.3, 0.4]",5335,0.35043384497232566,0.5746954076850984
BULL,"(0.4, 0.5]",5608,0.45018483172379076,0.5567047075606276
BULL,"(0.5, 0.6]",5774,0.5501568831972612,0.5594042258399723
BULL,"(0.6, 0.7]",6024,0.6504400451671415,0.5493027888446215
BULL,"(0.7, 0.8]",6051,0.7496325715562109,0.5656916212196331
BULL,"(0.8, 0.9]",5057,0.8448841314730071,0.5718805615977852
BULL,"(0.9, 1.0]",970,0.9234805058599405,0.5721649484536082
NEUTRAL,"(-0.001, 0.1]",972,0.05638679255655626,0.529835390946502
NEUTRAL,"(0.1, 0.2]",865,0.14572623877629318,0.6358381502890174
NEUTRAL,"(0.2, 0.3]",691,0.24973422907212076,0.6772793053545586
NEUTRAL,"(0.3, 0.4]",785,0.35328586140240587,0.6738853503184713
NEUTRAL,"(0.4, 0.5]",933,0.45076049135419666,0.6741693461950696
NEUTRAL,"(0.5, 0.6]",1065,0.5517988652182221,0.7126760563380282
NEUTRAL,"(0.6, 0.7]",1261,0.6526952548181629,0.6938937351308485
NEUTRAL,"(0.7, 0.8]",1606,0.7515794578790809,0.701120797011208
NEUTRAL,"(0.8, 0.9]",2022,0.8512497243463869,0.6834817012858556
NEUTRAL,"(0.9, 1.0]",1872,0.9423043711338351,0.5902777777777778
